Address;Changed Use;City;Completed Date;Completed Month;Completed Year;Description;Existing Use;Filed Date;Issued Date;Issued Month;Issued Year;Neighborhoods Boundaries;Permit Expiration Date;Permit Number;Permit Type;Proposed Construction Type Description;Proposed Use;Record Id;State;Zipcode;Estimated Cost;Estimated Revised Diff;Filed Issued Days;Issued Completed Days;Issued Completed Years;Issued Expiration Days;Latitude;Longitude;Number of Records;Revised Cost
125 3rd St,San Francisco,CA,94105;True;San Francisco;1.08.2007;Aug;2007;site work at street level outside of bldg property lines-horizontal & vertical addition;prkng garage/public;30.08.2000;21.11.2000;Nov;2000;Financial District/South Beach;21.11.2006;200008309233;additions alterations or repairs;constr_type_1;tourist hotel/motel;828680164745;CA;94105;92000000;17000000;83;2444;7;2191;37,7860568;-122,4013648;1;109000000
100 Van Ness Av,San Francisco,CA,94102;True;San Francisco;29.09.2016;Sep;2016;convert (e) office building int 399 residential apartments ground floor retail and roof deck. maintain (e) steel frame structure and garage. remove pre-cast concrete skin and replace with glass curtain wall. renovate interior of building.;office;2.08.2012;31.12.2012;Dec;2012;Tenderloin;30.11.2018;201208026344;additions alterations or repairs;constr_type_1;apartments;127820982089;CA;94102;75000000;0;151;1368;4;2160;37,77664285;-122,419182661;1;75000000
2155 Webster St,San Francisco,CA,94115;True;San Francisco;22.02.2017;Feb;2017;renovate (e) office bldg (main bldg) into 66-dwelling units. no cfc until proof of lot merger record.  additionally proj construct 11 townhouses in 4 bldgs on (e) surface parking lot total of 77 dwelling units. proj retain (e) surface parking lot & provide common open space.;school;22.11.2013;2.12.2014;Dec;2014;Pacific Heights;31.10.2020;201311222660;additions alterations or repairs;constr_type_3;apartments;132513776893;CA;94115;62000000;0;375;813;3;2160;37,790501245;-122,432582531;1;62000000
72 Townsend St,San Francisco,CA,94107;True;San Francisco;8.12.2016;Dec;2016;7 story addition to existing 2 story commercial warehouse, highrise building. addition of retail, parking & 74 residential units.;retail sales;1.05.2007;6.12.2012;Dec;2012;Financial District/South Beach;5.11.2018;200705010136;additions alterations or repairs;constr_type_1;apartments;1091852291099;CA;94107;35000000;-3700000;2046;1463;4;2160;37,7814417;-122,390395781;1;31300000
1800 Owens St,San Francisco,CA,94158;True;San Francisco;19.09.2019;Sep;2019;alteration to #2014-0904-5458s currently under construction. permit to make ready for laboratory tenants to be processed as future ti. this is a non-site permit therefore included in this permit are complete plans fo arch,struct & mep. all will be reviewed under the 2013 code.;vacant lot;17.08.2017;9.05.2018;May;2018;Potrero Hill;18.04.2022;201708175140;additions alterations or repairs;constr_type_1;office;1475016508133;CA;94158;30000000;0;265;498;1;1440;37,7679934;-122,3942761;1;30000000
1 Newhall St,San Francisco,CA,94124;True;San Francisco;30.03.2018;Mar;2018;"interior expansion, exterior renovation of (e) 2 story warehouse (circa 1986). new 2nd floor, new roof, renovated & upgraded building & site.change of use from city storage facility to sf office of chief med exam.** maher: compliance with ordinance no# 155-13 required; route to dph **";warehouse,no frnitur;26.06.2014;6.08.2015;Aug;2015;Bayview Hunters Point;5.07.2021;201406269545;additions alterations or repairs;constr_type_2;office;1346741173697;CA;94124;28000000;0;406;967;3;2160;37,7344101;-122,39334;1;28000000
500 California St,San Francisco,CA,94104;True;San Francisco;13.11.2002;Nov;2002;seismic upgrade,new partitions,mech,elec,life safety,new rms;tourist hotel/motel;30.03.2000;17.04.2000;Apr;2000;Financial District/South Beach;17.04.2006;;additions alterations or repairs;constr_type_1;public assmbly other;66359263404;CA;94104;28000000;0;18;940;2;2191;37,7930209;-122,4030391;1;28000000
505 Brannan St,San Francisco,CA,94107;True;San Francisco;25.10.2018;Oct;2018;full tenant build out of 6 story office mid-rise improvements include full service kitchen, communicating stairs, general office space & conference facilities. architectural finishes & mep.;office;16.11.2016;7.06.2017;Jun;2017;South of Market;17.05.2021;201611162927;additions alterations or repairs;constr_type_1;food/beverage hndlng;1444664505591;CA;94107;26000000;0;203;505;1;1440;37,7776259;-122,396757675;1;26000000
690 Market St,San Francisco,CA,94104;True;San Francisco;27.06.2008;Jun;2008;conversion of existing office bldg to residential,new seismic, fire protection,stairs,int partition;office;5.08.2003;19.07.2005;Jul;2005;Financial District/South Beach;19.07.2011;200308051235;additions alterations or repairs;constr_type_1;apartments;952114373716;CA;94104;25000000;40000000;714;1074;3;2191;37,7882426;-122,403204819;1;65000000
900 North Point St,San Francisco,CA,94109;True;San Francisco;24.03.2009;Mar;2009;rehabilitation of 5 buildings from b office to r-1 hotel - building are part of ghirardelli square & are qualified historic buildings. alterations are primarily interior in nature with limited exterior work.;office;4.10.2006;14.09.2007;Sep;2007;Russian Hill;14.09.2011;200610044165;additions alterations or repairs;constr_type_1;tourist hotel/motel;106976970872;CA;94109;24000000;0;345;557;2;1461;37,8057145;-122,4219022;1;24000000
